imie,plec,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ROMUALD,M,2,5,6,3,6,2,2,5,2,2,4,2,1,,1,2,2,,,1,,1,,2,,2,2,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JANUSZ,M,50,69,87,64,84,84,93,91,79,75,43,42,58,36,38,40,33,30,34,20,19,23,16,15,14,10,11,2,8,3,3,3,6,7,2,3,2,3,3,2,1,,,1,,,1,,,2,,1,,2,,,,,,1,,,,,,,
DANIEL,M,2,1,,1,1,,,1,2,1,,1,,,1,,1,2,,2,,1,1,8,9,25,22,18,22,22,26,52,35,47,41,33,41,31,31,33,28,29,36,43,28,24,28,24,20,29,29,17,17,19,14,8,10,15,11,13,10,9,9,10,9,6,6
ALFRED,M,1,2,2,4,3,5,4,5,1,,,,1,2,1,,,,1,2,,,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZYGMUNT,M,8,29,16,16,19,21,10,9,9,8,3,6,6,1,2,4,3,2,,2,,,1,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,1
ZENON,M,8,14,11,14,19,14,16,11,14,9,13,9,9,7,8,2,4,3,1,1,1,,,3,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOGDAN,M,24,18,24,29,33,27,21,29,32,18,18,25,25,14,16,22,10,11,8,8,8,15,2,9,3,2,5,2,4,1,3,2,2,1,1,1,1,1,1,1,,1,,2,,,,,,,1,,,,,,,,,,,,,,,,
TYMON,M,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,1,1,4,4,7,7,11,13,18,10,15,14,14
ANTONI,M,10,22,19,18,9,17,6,9,5,5,6,8,6,1,2,2,1,2,,3,,1,2,1,1,1,2,,,1,1,1,,,,2,2,,,1,2,,1,,1,3,2,1,5,5,3,4,4,12,8,13,28,18,18,32,42,40,64,53,67,71,51
MIKOLAJ,M,1,1,,2,1,,,,,,,,,1,,,1,,1,,,1,2,,1,1,,2,1,1,2,2,,2,4,4,5,6,2,5,9,4,7,7,7,10,17,9,13,21,27,32,24,39,32,37,38,41,42,39,51,37,41,36,41,50,44
ZBIGNIEW,M,73,94,107,97,100,123,103,91,90,102,84,72,76,60,57,42,40,51,54,33,35,25,48,20,22,16,17,17,16,13,9,5,4,10,7,12,3,4,3,1,1,1,1,,,1,,,,1,1,,,,,,,,,,,,,,,,
JOZEF,M,59,44,45,52,38,39,39,31,32,20,17,17,10,10,7,9,9,3,2,4,7,2,4,6,4,,1,2,2,1,1,,,2,3,,,1,1,,2,1,,,,,,,,,1,,1,1,,,,1,,,,3,1,2,5,,4
ROMAN,M,35,40,27,28,30,28,35,29,33,36,20,23,23,27,23,16,17,11,11,12,12,9,12,17,11,4,6,7,1,,3,4,3,6,6,2,1,2,2,3,,2,,1,2,1,1,,,,,,1,1,,,,,1,1,,,,,,,1
ALBERT,M,,1,,,2,,,1,,,,2,1,2,1,2,,1,1,1,3,3,2,5,5,7,2,2,2,3,3,1,4,1,1,4,2,1,3,2,7,2,2,2,2,1,3,4,2,,1,3,2,,5,2,2,4,,3,5,2,,2,1,1,2
ERNEST,M,,,,,,,,,,,,,,,,,,,1,,1,1,,3,2,2,5,3,4,8,5,2,3,3,4,2,1,5,2,3,2,3,4,1,5,2,7,6,5,8,11,7,3,7,1,,1,1,6,2,5,1,2,4,3,3,
WIKTOR,M,9,5,8,6,6,7,3,1,3,6,,4,2,,2,1,1,,2,2,1,,4,1,3,1,3,5,2,1,4,3,4,4,2,5,,3,,3,6,5,3,2,5,4,4,6,5,4,7,10,9,20,19,24,21,33,34,42,33,33,32,34,42,50,33
IWO,M,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,1,,,,,1,,,1,2,1,,1,,,,,,,,,2,1,1,1,1,3,,1,4,1,3,8,
KAJETAN,M,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,,1,1,1,1,2,2,,2,1,1,4,,3,3,3,3,2,2,2,5,5,2,7,7,11,5,13,15,10,10
TYMOTEUSZ,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,,,4,1,1,,,2,,1,1,1,1,3,3,1,1,3,7,4,4,3,2,7,12,15,9,14,13,12,16,17
ALAN,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,2,,,3,1,,1,3,2,1,1,1,,3,2,3,6,2,5,6,12,12,13,10,20,9,20,21,17,26,7
ERYK,M,,,,,,,,,,,,,1,,,2,,,1,1,,,,1,1,3,2,3,4,,2,1,3,,1,4,,,2,1,1,2,4,2,3,4,3,4,9,6,10,11,2,8,6,3,13,14,9,8,4,1,3,3,12,4,3
SLAWOMIR,M,8,9,14,25,22,23,35,31,44,53,45,54,57,66,51,61,67,51,66,69,71,51,46,41,47,46,49,36,36,33,41,23,27,22,27,11,19,11,6,3,3,12,7,4,2,4,1,2,,,,,1,,,,1,,,1,,1,,,1,1,
JAROSLAW,M,,2,2,3,11,9,7,12,16,16,21,30,32,41,40,44,49,43,58,67,54,49,61,61,71,37,64,64,58,49,51,53,38,43,50,54,50,23,27,26,14,21,19,16,10,13,10,8,2,6,4,,2,7,6,2,2,1,2,,1,1,1,,1,,1
EMIL,M,,1,1,,,,1,1,1,1,,,,,,,3,,,,1,,2,1,2,2,4,4,6,3,4,8,8,9,12,6,12,8,10,7,12,10,10,7,5,6,4,6,5,5,1,6,3,4,3,4,4,2,1,2,3,3,4,5,4,3,3
FABIAN,M,,,,,,,,,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,4,,1,,1,,,,1,,,,,2,,1,3,3,2,4,1,5,7,10,3,3,5,6,3
DAWID,M,,,,,,,,,1,,,,,,,1,,,,,,,,1,,1,5,5,11,6,8,8,10,15,23,25,17,18,19,24,20,23,26,17,16,20,18,19,19,18,27,29,29,28,27,26,36,32,35,36,38,35,31,23,32,31,11
MARCIN,M,1,5,,,1,1,4,,2,,3,4,2,1,2,3,4,7,20,21,42,66,66,91,123,168,204,184,199,207,221,191,203,197,148,146,139,120,100,94,87,87,69,61,67,50,33,35,26,25,25,19,12,10,11,11,14,11,8,12,8,12,3,8,5,10,3
RYSZARD,M,85,94,91,101,89,103,86,84,75,52,43,32,28,24,31,21,19,18,21,11,6,5,12,4,3,1,9,5,4,2,4,2,3,2,1,,2,3,2,,,1,,,1,,,1,1,2,,2,,2,,1,,,1,2,1,1,4,1,5,5,2
KORNEL,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,1,,,,,,1,,1,1,,1,,,1,,1,,,,1,1,,1,4,4,4,7,4,4,3,2,5
