SOUCHAL	Léon Claude Albert
FABRE	Henri Auguste Antoine
FAURE	René Victor
TOUSSAINT	Eugène Louis
HOUDRY	Maurice Marie
HEITZ	Jules Nicolas Alexandre
GIRIEUD	Pierre Paul Joseph
DUHESME	François Aloys
DESPERT	Albert
MÉZIÈRE	Pierre Jean Léon
GROMBACH	Gabriel Georges
MUCCIOLI	Frédéric Jean Edouard
NATHAN	Jean Marcel Elias
HELLER	Jean Adam
HEIMANN	Pierre
HARCOURT D'	Jean Bernard Armand
LABORIE	Marcel
MONNIER	Marie Georges Henri Laurent
PICARDA	Paul Emile
EDINGER	Alexandre Gampel Georges
GINISTY	Valentin Jean Maurice René
GRENOUILLOUX	Fernand Marcel
METZINGER	Henri Robert
GERMAIN DE SAINT-PIERRE	Fortuné Ernest Guy
GARDY	Paul Marie Philippe
DUMAS	Charles
MARTIN	Marcel Albert Victor
METTETAL	René Henri Frédéric Emile
MOLINIER	René Hervé André
MOUSSET	Henri Albert
GARNIER	Henri Marie Joseph
FREMERY	André
FRANQUELIN	Léon Prosper
TETARD	Henri Georges Félix
POTTIER	René Maurice
ROUX	Joseph Philippe
RIO	Armand Marie Louis
CHAPUIS	Henri
LEROY	Robert Justin Louis
LEPOT	Georges Jean Armand
HESSE	René Adolphe Alfred Didier
RENAUX	Victor Louis
PIET	André
PORT	André Etienne
GEORGES	Henri Pierre Auguste
GRUET	Jules Henri Albert
GIRARD	Auguste Adrien
COUTANT	Paul Pierre Georges
CHARVEYS	Léger
POUDEVIGNE	Jean René Marie
RÉGNIER	Emile Adolphe
PELLEGRIN	Jacques
SIMON	Pierre Antoine Adrien
STEPINSKI	François Arthur Joseph
LECLERC	Albert François
LEDOUX	Léon
LORRAIN	André
LAHAYE	Emile Hippolyte
LEMARCHAND	Georges Hubert
LAVAUD	Jacques Marcel Charles
MACK	Frédéric Henri
LUGOL	Maurice Lucien Jules
PIERRON	Léon
WOGUE	Jules
SCHMIT	Nicolas Eugène
PETIT	Henri
DUCAS	Marius Aimé Raphaël
DUFAS	Lucien Maurice Georges
PERREAU	Alexandre Henri Marie
TOURNEUR	Emile Georges Henri
VERGNE	Joseph Antoine Henri
RUBAN	Georges Arthur
CLAIRE	Auguste Jean
GUIRONNET DE MASSAS	Jules Charles Raoul
PETHE	Henri Ernest Désiré
SCHENBERGER	Charles
VERNET	Georges Eugène
ROCHE	Jean Fernand
VIBERT	Gaston Ernest
GUETAT	Germain Marguerite
GÉLIS	Paul Alfred Henri
GAY	Marcel
GAUTIER	Armand Louis Jules
CABON	Andrée Wilhelmine Rose
TRAMAILLE	Marcel Valentin Robert
LERUSTE	Pierre Eugène
LESCANNE	Jean
HULLIN DE BOISCHEVALIER	Jacques Joseph Marie
HENRARD	Roger Fernand Auguste
GASNE	Pierre Georges
SIMONINS	Emile Clément
SIROUX	Maxime
SITRI	Renée
SONTAG	René Bernard
PONTAL	Esther Marie Juliette
RUHIERRE	Maurice Henri
PICARDEAU	Georges François
TRUCHOT	Robert Edouard
BERNUDACHI	Jacques Etienne Pandia
VERNOU DE BONNEUIL DE	Henri Jean Geoffroy
BONNIN	Aymé
LEFFOND	Julien Claude
GARRAS	Jean Auguste
CREHANGE	Anne Marthe Emma
BRETON	Marcel Claude Edme
CHAZAL	André Camille
BARAT	Gabriel Alphonse Eugène
ANJARD	Edwin Théophile
AUDOUSSET	Armand Gaston Jean
DELUERMOZ	Louis Henri
CAHEN	Jean Jonas
NOËL	Eusèbe Charles Marie
CONTANT	Pierre Antoine Marie Achille Auguste
BONDEUX	Eugène Jules
HENTSCH	Marc Robert
LEMAIRE	Jules Auguste
HAUBOLD	Bernard Henri
MOSSER	Charles Ignace
CHAMBELLAND	Louis Auguste
BRODIN	Jean Marie Gabriel Auguste
BROSSON	Charles Auguste
MASSON	Georges Armand
GUILBERT	André Vincent Ernest
JOLY	René
LENGELLÉ	Georges
LEGROS	Jean Emile
MAËS	Paul Gaston
LEFÈVRE	Ernest
LELAS	Maurice
LABORIE	Henri Sylvain
MARTIN-SANÉ	Jacques Marie Edouard
HOUEL	André
HOPPENOT	Henri Etienne
HOCHAPFEL	Jean Germain
HILD	Roger Joseph Gratien
GUÉRIN	Ernest Henri René
DALLAY	Marcel Alfred
DUJARDIN	Francis Alexandre Henri
GUÉRIN	François Albert
GRANGER	Charles Jules André
HAMM	Auguste Oscar
LOUVET	Fernand Henri Jules
MARTY	Roger Georges
HALARY	René Ernest Louis Napoléon
GUIOT	Marcel Louis
GRISON	Pierre Louis Marie
GOURY	Eugène Gustave
GIRAUDET DE BOUDEMANGE	Pierre Marie Auguste
GILIOLI	Emile
GERSCHEL	Claude
FOUREL	Georges
FOURNIER	Fernand Julien Georges
FERRIÈRES	Marcel Aimé
MARÉCHAUX	Emilienne Augustine
LÉVY	Rodolphe Edouard Salomon
PRALON	Auguste Louis Alexandre
BAUGNIES	Jacques Frederic Guillaume
BLUM	Lazare Léon
BOULARD	Paul Jean
BRINCOURT	Charles Louis Henri
CHARLANES	Emile Pierre
BERGER	Alexandre
FIQUET	Marcel Joseph Isidore
FELS	Ferdinand Florent
FENESTRE	Georges Maurice
KAAN	Paul
MAUSSY	Antoine Marie Joseph
ORRY	Albert Joseph
LE FORT	Raymond Edouard François
LACROIX	René
GAVE	Jean Ferdinand Louis
LACOIN	Marie Gaston Jean
GARNIER	Claude Eugène Jacques
GARNERY	Paul Irénée
GUÉRIE	Paul
GOETTELMANN	Eugène
GILMER	Pierre Jean-Baptiste
GERBET	Ernest Célestin Claude
FONTAN	André Louis
MATHIEU	Jean Baptiste Lucien
LESSERTEUR	Léopold Jules
KOECHLIN	Georges Rodolphe
LECOQ-VALLON	Maurice Charles
LE ROCHAIS	Eugène Yvonnique Francisque
GARDINIER	Jean Antony
CONORT	Pierre Louis
BROUZET	André Auguste Bernard
CASTILLON	Edouard Marcel
CAMBIER	Maurice
FÉES	Charles
MAGNE	Charles Hippolyte
CAPILLON	Emmanuel
DISLÈRE	Marguerite
DÛSOLIER	Raymond Marie Joseph
ESTAINVILLE D'	René Jean Joseph Charles
DURUZ	Alphonse Robert
LALOUX	Louis Octave
CHABANCE	Michel Adrien
CHARMAISON	Louis Raymond
LEGRAND	Hubert Constant
LEO	François Henri Auguste
LÉVY	Armand
LICHTLÉ	Gaston Marie Victor
BOUTRON	Felix Eugène Louis
DU BOUSQUET	Joseph Benjamin Robert
BERNARD	Paul Louis
COMPIN	Jean Emile
CLERFAYT	Camille Omer Ernest
CHEYSSON	Jacques André Marie
CHARRAUD	Lucien Albert
COURTILLIER	Charles Frédéric Joseph
CARON	Jacques Etienne
FRIEDMANN	Henri Albert
FRIÉDÉRICH	Jules Eugène
BESSIN	Joseph Auguste
BLANDIN	Jean Auguste
DAUBY	Francis Alexandre
FONTAINE	Noël
DARGAUD	Georges André
ORLHAC	Jean Henri
MORLAY	Raymond Paul Pierre
NEY D'ELCHINGEN	Charles Jean Gabriel Aloÿs
LE FLOCH	Marie François Amand
CARDON	Maurice Charles Léon
CAPUS	Georges Jules
CAPERONY	Jacques Gaëtan Marie
BELLAMY	Alphonse Justin Aimé
CHAPELLE DE JUMILHAC	Marie Odet Jean Armand
BANCE	Georges Albert
BRAUN	Salomon
LANNE	Edmond Marie Ange
VALADE	Louis
TURQUAN	Victor Eugène Jean
TREBOUX	Marius Eugène Joseph
