SOUCHAL	Léon Claude Albert
TRAVERS	Marcel
TOLLERON	Albert
MOURICE	Marcel Fernand Yvan
MORTEMARD DE BOISSE DE	René Jacques
CANCE	Albert
MEJEAN	Alphonse Jean Baptiste Auguste
NICOU	Georges Maurice
NICOLLET	Paul Louis Claude Marie
FLOBERT	Paul Gustave
HOLVECK	Gustave
KOEHLER	Maria Louise Héloïse
GUILLOT	Jean Edouard Maurice
POGNON	Albert Louis
GUIBAL	Henri Fernand
LUCAS	Edmond René
MAST	Charles Emmanuel
MASSOT	Louis Emile
MASSIN	Jacques Henri
MARX	Jules Anne Claude
ASTAIX	Paul François
ATZENHOFFER	Raoul Louis Jules
GAUTHIER	Jean François Joseph
GASTALDI	René Camille William
GARNIER	Marie Paul Auguste
GARET	Georges Alfred Fernand
GIRAUD	Alexandre
GIRARDEAU	Léon Henri
GUÉRARD	André
DOUCET	Edmond Gabriel Ernest
BONHOMME	Jules Antonin
DEMOY DE POMMIER	Maurice Albert
DU HAMEL DE BREUIL	Aymar Jean Anne
COMBE	Georges Victor Gabriel Yves Eugène Alphonse
COTELLE	Henri
CALOT	René Albert
CALLIES	Joseph Pierre Denis Marie
CARLONI	Alexandre Gabriel
CÉZILLY	Jean Joseph
CÉZARD	Jehan
GARNIER DE LA VILLESBRET	Bertrand Marie Armand
CLAISSE	Gaston François
FRANÇOIS	Tony Charles Eugène
FRELING	Roger Pierre
DURRIEU	Jean Marie Joseph Valens Auguste
HEURGON	Anne
GONTAUT-BIRON DE	Marie Joseph Paul Xavier Mathieu Henry
DUHAMEL	Jacques Jean François
NOVION	François Charles
MAHN	Baptiste Charles Berthold
BRANDICOURT	Pierre Adrien Germain
BAGUÈS	Jules Robert
DUFOUR	Henri Albert André
DENOGENT	Georges Louis
DURANDAUD	Charles Henri Jules
FAYET	Gaston Jules
GROS	Gaston Charles Jacques
SPITZER	Maurice
MALIN	Henri René Fernand
JEAN	Paul Alphonse Théodore
CLÉMENT	Maurice
AUBERT	Paul Albert
DALLON	Emile Louis
DUFAURE DE ROCHEFORT	Jean Charles Marie Joseph
FRANCK	Marcel
RIOM	Jean
SCHUHL	Marcel louis
FÉRET	Roger Nicolas Octave
GÉRARDIN	Jean
ROUSSAN	Jacques Paul Henri Georges
ROLLIN	Maurice Charles Marie
MARGUE	Léon Pierre Paul Maxime
MAIRE	Léonie Marie Reine Marguerite
MARCUS	Robert
BOURSOT	Pierre Jean Marie
FASCHOLIN	Paul André
MANDAROUX	Jean René
LE SECQ	Paul Alfred
LAFOLYE	Leon Henri
HOLLARD	Auguste Louis Arnold
HÉBERT	Auguste Olivier
HENAULT	Victor Albert Maurice
HUTINET	Joseph André
HANAUT	Georges Hubert
LÉDOGRAS	Maurice Eugène
LE MASSON	Jules Henri
LEMERCIER	Philippe Gustave
LEPAPE	Adolphe Léon
LÉON	Joseph Moïse René
GUNTZBERGER	Jules Henri Suzanne
GUISELIN	Albert Louis Clément
GAUTIER DE CHARNACÉ	Marie Henriette
GAUTHIER-LATHUILLE	Charles Eugène
LION	Pierre Jules
LÉO	Roger Auguste Armand Théodore
MERSON	Jean Casimir
MAGNIEZ	Pierre Maurice
LE GARREC	Paul Emile
LEPELLEY	Marthe Andrée
LE GAL	Gilbert
LEFEVRE PONTALIS	Hubert Germain
LECRUBIER	Jacques Louis
BONIFACE	Philippe Pierre
BOLLA	Augustin Fernand
DELEPIERRE	André Emile Désiré
DESCUBES DESGUERAINES	Jean Bernard
FAURE	Jean
FAUVEL	Albert
DESAUBLIAUX	Robert Roger Maurice
DESPRETZ	Marcel Jules
FAGOT	Robert Louis Constant
ARCHAMBAULT DE MONTFORT	Suzanne
DUPUY	Eugène Louis
DUPUY	Lucien Alfred Dominique
DUFEU	Alexandre
DOUCHY	Pierre Alfred Médard
DRAEGER	Charles
EMDEN	Daniel Henri Jules
DANZIGER	Anatole Lucien
DARGIER DE SAINT-VAULRY	Jean Henri Charles
DARBOUX	Jean Gaston
BEURDELEY	André Maurice Louis
BICHARD	Alphonse Joseph Eugène
BIDAULT	Henri Emile Victor
BIDAULT DE L'ISLE	Augustin Antonin Georges
BIENAIMÉ	Lucien
CAILAR	Paul Robert
RENAUDEAU	Eugène Victor
SAINT-DOMINGUE	Charles Ferdinand
RENOULT	Marc Charles
PORTHEAULT	Marcel Maurice
PIA	René Alcide
PICAULT	Henry Auguste
RIANDEY	Charles Marcel
TURGIS	Marie Robert
TRIPIER	Henri
PETIT	Georges Théophile Marie
PHILIPIDHIS	Constant Robert
PHILIPPOT	René
PHELIZON	Jean Alphonse Georges
VIGOUREUX	Charles Georges
PIEDAGNEL	Charles Vincent Louis
PASTOR	Maurice Louis
PASQUET	Paul Adolphe
BARBIZET	Georgette Alexandrine
RAOUL-DUVAL	Gérard Fernand
PAVIS	Alfred Georges
SIRE	Auguste Léon
ROUGIER	François Victor Augustin
WAGNER	Henri Jean Charles
RAVASSE	Léon Louis
PALIES	René Laurent
ROBILLOT	Philippe
ROUSSEAU	André Georges Marie Alphée
VANNSON	Alfred Louis
PINS	Gustave Victor Joseph
ROUSSILLOU	Alfred Hilarion
LAMBERT	Myrtil Charles
OLMETA	Sauveur Maurice
LAFOUX	André Jean Marie
JAUFFRET	Robert Maurice Marie Gérard
LE NÉVÉ	Jean Paul
LAUMONIER	André Jean Napoléon
LÉVY	Robert Nathan
MANESSE	Gaston Fernand Paul
MERCADIER	Joseph Alexandre Maurice
ROMAIN	Céleste Alix
ROBIN	Pierre Auguste Edmond
MERMA	Ferdinand Constant Délice
MERCIER	Pierre Félix Jean
MERCKEL	Ferdinand Marie Ignace
MERCIER	Paul Amynthe
MARTRES	Jean Hippolyte
MARTORY	Alfred Lucien Félix
MARTINOT	Jules Ernest
MARTINET	Emile Théophile Charles
MARTINET	Louis Désiré
MARTINET	Paul
ETORE	Louis Jacques
EVAIN	Georges Charles
MARTIN	Marceline Marie Désirée
MARTIN	René Joseph
MASSIN	Paul
MASSIN	Marie Ernest
MASSE	Louis Désiré
MASSELIN	Pierre
MARTZOLF	Georges
MASPERO	René Gaston Georges
MASCART	Léon François
MASCART	Jean Marcel
MARTZ	Emile Jean Michel
MARTZLOFF	Robert Paul
DAYNÉ	Paul Dominique
DEBAT	Jean Baptiste
DEBÈS	Georges
DESGRANGES	Paul Charles Marie
DAVID	Auguste Jules Marie
DANET	Eugène Charles Henri
DARDENNE	Charles Joseph Etienne
DELOFFRE	Michel Emile Joseph
DELMAN	Pierre Jean
DEMARIGNY	Gabriel
DAYDÉ	Jules Paul
DEGORCE	Frédéric Maurice
DA COSTA	Maurice Jean Albert
DEBUSSY	Gustave Charles
DECKER	Louis Eugène
DECHAUX	Jules
DECAIX	Paul Louis
DEPASSE	Henri Jules Parfait
DEPRET	Léon
DERRIEN	Marcel Henri Jean Marie
DÉROCHE	Henri Eugène Pétrus
DESBAINES	Henri Louis
DALEINE	Ernest Charles
DALLEMAGNE	Paul Marie Charles
DALARD	Jean Joseph Eugène
DAGRON	René Fernand
DEJOUY	Emile Alphonse
DEJEAN	Jean Emile Frédéric
FLAUGERGUES DE	Henri Julio
BOUCHET	Pierre
BERGEZ-CAZALON	Jean Marie Fernand Emmanuel
BELTRAND	Antony Louis Jacques
CAILLOUX	Yvonne Ida
AUGUSTE	Charles Gustave
GILBERT	Jean Frédéric Victor
CHATELLIER	Jean Marie Marc Anné
CHILAUD	Lucien Charles Pierre
CONTET	Robert Philippe
SALGUES	Gabriel Etienne
WEISS	Isaac René
VALLEINS	Jean Georges
SÉE	Pierre André Raymond
VERGNE	Edmond Maurice
LARRÉA DE	Charles Hippolyte
AURELLE DE MONTMORIN DE SAINT HEREM D'	Henriette Marie Juliette
AYCOBERRY	Pierre Marie André
AUBART	Jules
LARRIVAZ	Félix Jules
MOLLARD	Louis Elie Victor Vitan
MAILHAT	Henri Louis Augustin
L'HÉRAULT	Alexandre
MORDILLAT	Louis Eugène
BERTHIOT	Maxime
COULON	Maurice André
BOURÉE	Henri Jean Alfred
ROUX	Jean Lucien
BAUCHERON DE BOISSOUDY	Jean Henri Antoine
VINCENS	Pierre
TROTÉ	Charles Albert Eugène
VASSOIGNE DE	Anicet Maurice Elie
VAYRON	Jules François
VAVIN	Georges Edme Lucien Basile
VILLEMINOT	Paul Jacques
VILAIN	Auguste Philippe
SELMERSHEIM	Eugène Louis Pierre
VALLOIS	Frédéric Pierre
VEYRAT	Louis Edmond
PELIEU	Léon Gustave
SONNOIS	Roger François Joseph
TISSIER	Léon Alphonse
TIRARD	Pierre
DESCAIRES	Ernest Joseph
DAVID	Charles Adolphe
VAN ACKEN	Georges Louis
VANNIER	Henri Louis
GACHET	Marcel
ROULLIER	André Jean
TRIBOUILLET	Félix
TRÉVIS	Frédéric Louis
TRABBEL	Emile Paul Léon
REGNAULD DE LANNOY DE BISSY DE	Hugues Jean Jacques Paul
TROUFLEAU	Georges Albert
TROUFLEAU	Louise Frédérique
TROUSSELLE	Aquila Eugène François Roger
FOURMY	Robert Albert
HOLZSCHUCH	Jacques Joseph
DUMOUTIER	Georges Albert Léon
DUMONCEAUD	Pierre
DISCHER	Henri Fernand
DELEHAYE	Charles Henri
DUTRONC	Jean Marie Louis
HAAS	André Lucien
GAVILLOT	François Eugène Camille
GRIMAUX	Louis Alexandre Barthélemy René
MAILLOCHON	Alexandre Désiré Edouard
LEBEL DE GIRARD DE CHATEAUVIEUX	Pierre
BELLOT	Léon Joseph
BERTEL	René Henri
DRUON	Michel Pierre Marc
GASCOIN	Albert Adolphe
CARPENTIER	François
CAMUS	Jean Pierre
AUBRY	Eugène Louis
GUËT	Jean Paul Georges
BALLÉ	Lucien Eugène
BODIO	Georges Auguste Victor
CHEVALIER	Simon Jules
BOISSEAU	André Edouard
CHAUSSIVERT	Raymond Louis Gustave
CORRÈZE	Maurice Léon Lucien Antoine
COURTIOUX	Pierre
CHAUMEL	Alfred
CAYLA	Alexandre Félix
CHABOT DE	Philippe Marie Gérard
CHARLEUX	Lucien
RUAUX	Maurice Edouard Marcel
CLUZANT	Jean François Marie Charles
BÉGUIN-BILLECOCQ	Jean
CONSALVI	Antoine
ROLEZ	Louis Auguste
ROISIN	Louis Victor
ROSSIGNOL	Edouard
ROUBAUDI	Maurice Antoine Albert
ROUGÉ DE	Emmanuel Pierre Henri
ROUGEOT	Louis Frédéric Alfred
ROUGEOT	Victor Henri Julien
ROTH	Adolphe Pierre
ROCHEROLLES	Jacques Jean Pierre
ROCHER	Georges
RODRIGUES	Gustave Désiré
ROUSSELLE	Alphonse Henri
ROULLEAU	Gaston Hippolyte
ROUSSILLON	Maurice Auguste Antoine
ROUSSEAU	René Marie
ROUQUÈS	Amédée Maurice
ROGER	Henri Louis
ROGER	Paul Alfred
RUEFF	Gabriel Zacharie
PASSANI	Antoine Charles
MUTER	André Jean Joseph
NEUBURGER	Jean Bernard Daniel
RONDELEUX	Louis Charles Pierre
ROQUES	Achille Jean
OSVALD	Jean Gustave
MERLE	Paul Noël
LIPPMANN	Jacques
MONTESQUIOU-FEZENSAC DE	Pierre Marie Joseph
OLTRAMARE	Pierre François
MÉNARD	Robert Léon
LECLÈRE	Gaston
LE CREURER	Jean
LEDIEU	André Marie Pierre Joseph
LEBON	Rémy Paul Fréderic André
MÉRIGOT DE TREIGNY	Pierre Marie Edmond
MATHIEU	Jacques Henri Elie Marie
MESSAGER	Pierre Camille
NADAL	Jacques
MERLET	Jean Etienne
GALLON	Armand Adrien
GAINCHE	Maurice Jules
HUGUET	Armand Raoul
HOUSSIER	Gaston Auguste
HOURCADE	Jean Elisée Charles
HELLSTERN	Henri
HIRLEMANN	Georges Xavier Charles
HERBELOT	Marcel Alphonse
HENRY-GREARD	René Paul Octave
HENRY	Pierre Jules
ERARD	Auguste
DURNERIN	René Augustin Joseph Marie
GROSPERRIN	René Raoul
GROS	Roger Joseph
GAUBERTI	Joseph
GROBUIS	Henri Léon
GUÉNOT	Alphonse Georges Paul
GENET	Paul Gustave
GAIGNERON-MORIN DE	Marie Joseph Paul Jean
FEUILLASTRE	Albert Léon Etienne
FONCIN	Marie Josephine Lucie
HARRY	Serge Louis Jules
FROMENT	Théodore Emile Marie Marc
FAURE	Paul Louis
DELATTRE	Louis François Aristide
DRONSART	Maurice Raoul
DELOMBRE	André Jacques
DELEPLANQUE	Emile
DELECLOY	Bernard Laurent Alfred
FERROUD-PLATTET	Maurice Emile Basile
EVRARD	Henri
GRAS	Charles Louis Maurice
GALBRUN	Eugène Amand
DIGARD	Louis Henri
GUYOU	Marcel Henri Etienne
GENTILY	Maxime César
FOURÉ	Pierre Louis
GONIN	Georges Adrien
DUPONT	Jean Urbain Victor
HUMBERT	Henri Louis Edmond
GOTTEL	Maurice Jean
ROTHSCHILD	Germaine
DUPOUX	Charles
DAVID	Georges
FENARD	Guy
DAURIOS	Fernand Georges
HARTING DE	Pierre Marie Ferdinand
HANSCH	Henri Lucien
HENRIET	Albert Martial
HAUSSAIRE	Charles
BONTEMPS	Robert Juste
BAUDRY	Jean Baptiste Pierre Joseph
BERRY	Daniel Marius
COURTEAUT	Charles
CHELLE	Julien Serge
CHAVANE	Christian Roger Marie Emmanuel
CHAPUIS	Lucien
BOCHET	Marcel Charles Louis
CHAPEY	Victor
BURIN DES ROZIERS	Jacques Albert Marie
BOULY	François
BRIERE	Jean Louis Augustin Marie
LE CHEVALIER	Eugène
BACHELLIER	Georges Jean Andre
MARIN	Robert François
FOURAULT	André Alphonse Georges
COURTANT	Georges Gabriel André
RICHARDEZ	Léon Joseph
RHEIN	Sylvain
BRÉMON	Paul Auguste
CORMAILLE DE VALBRAY	Emile Emmanuel Eugène
DESPRAS	Andréé Jeannine Orfila
CUSQUEL	Victor
REY	Henri
RIGAL	Pierre Léon Henri
RENIÉ	François Pierre
PÉTIN	Lucien Albert
THIELLEMENT	André Julien
TABOUROT	Charles
THUASNE	Maurice Alexandre Louis
RELLAY	Eugène Emmanuel Marie
REYMONDIN	Georges Alexandre
REGARD	Jean-Baptiste Emile
RIQUIEZ	Maurice Adrien
ROBARDET	Marie Paul Cyrille
RICHARD	Louis Victor Léon
REY-GOLLIET	Adrien François Henri
RICHARD	Fernand
RICARD	Isidore Léon
RIMONEAU	Ernest Paul Fernand
TREMOLIÉRES	Jean François Pierre
TOURTOIS	Fernand
TOUZÉ	Jacques Jean Joseph
TIXIER	Léon Eugène Joseph
VEBER	Serge Pierre
URRIEN	Louis Marcel
MALLART	Charles Alfred
MAITRE	André Marie
LAROCHE	Antoine Pierre
LAUTAR	Raymond Emile
LARDILLAT	Arthur Alfred
LOUVIÈRE	Raymond David
LUPPÉ DE	Marie Odon Jean Bertrand
JAOUL	Raymond
LEGROS	Achille Georges
LE PAN DE LIGNY	Jean Joseph Marie Gabriel
LELOUP	Edmond Paul René
LELEU	Victor
MARTY-LAVAUZELLE	Henri Marcel Léon
MARCHAL	Horace Augustin
MARTIN	Auguste Jean-Marie
MARIE	Irène Félicienne
MIGOT	Georges Elbert
MARANDAS	Jean Marie
MARQUET	Georges Pierre Antoine
LABURTHE-TOLRA	Auguste Marie Prosper
LAGACHE-BLANCHET	René Alphonse Charles
LAHACHE	Jean Pol Marie
AYMÉ DE LA CHEVRELIÈRE	Marie Magdeleine Bernadette Françoise
MAGNE DE LA CROIX	André
LE MAIRE	Jean Baptiste Edouard Marie
VERNES	Arthur Théodore
KERN	Jean Baptiste Julien
ALPY	Charles Marie Emmanuel
LABRO	Marcel Antoine Charles Joseph
HARTER	Henri Léon
VICAIRE	Marcel Marie Emile
DARDELLE	Maurice Paul
LEPAN-DREVDAL	Charles
LE RAY	Henri Charles Marie
SOULLARD	Louis Pascal
ROBELUS	Maurice Charles Eugène
ROUGÉ	Francis Michel Georges
ROUSSET	Jacques Louis
ROUSSET	Paul Gaston
DANIEL	François
SOULIARD	Georges Jean
BLANC	Georges Edmond
VALENTIN	Paul Ernest
SCHNEEGANS	Pierre Edouard
SACHON	Ernest
SALLES	Raymond Jean Jules
BURGARD	François Pierre Joseph
BOLAND	Pierre François André
SUBY	Gustave Emmanuel Nicolas
ROBUCHON	Jean Louis Eugène
ROULIER	André
RAIN	Marcel Gabriel Pierre
AMIEL	Henri François
AMEZ-DROZ	James Adolphe Yvan
ALLIOT	Maurice Victor Armand
ALLIOT	Emile Lazare
ALLA	Robert Edgard
LE VAYER	Marguerite Alice Marie
WIDMANN	Edouard Max
SAMSON	Pierre Samson
SCHLOSBERG	Léopold Henri
CLÉMENT	Francis Emmanuel Marie Joseph
CHAUMONNOT	Victor
BRUNIAUX	Auguste Etienne René
SCHALLER	Roger Constant Pierre
ROMER	André Charles Henri
THIBAULT	Jean
SIROUX	Raymond Marie Jean Adolphe
DEMARCHE	Jules Pierre
DIEUDONNÉ	Adolphe Edmond
DORVAULT	François Donat Marie
EXPERT-BEZANÇON	Eugène Marie Pierre
FÉRAL-CUSSAC	Jules Eugène
SALAVIN	Léon Henri
SABOURIN	Yves Félix Marie
SALLEZ	André Marius Alfred
RUBIN	Marcel Maurice Joseph
PEYRUT	Guy Henri Léon
PEULVEY	René Louis
REBATTET	Georges Louis
ARRACHART	Maurice Félix
MENDELSOHN	Dominique Arnaud Etienne
ROY	Marcel Louis Arthur
PALEWSKI	Jean Paul Albert
KAPFERER	Daniel Jules
LAFFON	Marcel Marie Emile
LA BROSSE DE	René
BÉRAUD	Albert Noël
LECHALARD	Georges
LAURENT	Marcel
LANGELIER	Gaston Georges Auguste
LA HAMAYDE DE	Louis Marie François
QUINTON	Georges Henri
QUIBEL	Louis
LE CHEVALIER	Eugène
FIRMIN	Paul Albert
FLAMANT	Emile Jules Ernest
FLAVEN-BOIS	André Pierre
FLORIOT	René Edmond
PRUD'HOMME	Charles Marcel
PRUDENT	René Armand
PROD'HON	Charles
PRAT	Honoré Jean
PORTIER	Robert Eugène Georges
PORTHAULT	Daniel Ernest
PORCHERON	André Henri
PONT	Pierre Etienne
POINTET	André
POIDATZ	Roger Emmanuel Alfred
CARRÉ	Julien Albert
MORTREUX	André Valère Adrien
BAZIN	André Marcel
CORDESSE	Emile Paul
CURIE	Maurice
COURTIN	François Louis Camille
FOSSORIER	Pierre Marie Albert
GAMBIEZ	Edmond Paul Marcel
FREYDENBERG	Henri
FRANQUEVILLE	André Léon
GINOUVEZ	Georges Henri René
GILSON	Maurice Paul
JOLLIVET	André Léon Eugène
MORANE	Paul Henry Louis Marie
LE VERRIER	Madeleine Anne Marie Jeanne
JASSON	Albert André Camille
LEVENT	Marie Louis Rémy
PANTZ	Henri Jean
PANIS	Antoine Joseph
MIQUEL	Jean-Baptiste
LE JARIEL	Marie Joseph Xavier
BRUNEL	André Lucien Laurent
BRISAC	Pierre Salomon Isaac
TERQUEM	Marie Anne Hortense Elisabeth
LERY	Louis Auguste
PICQUENARD	Eugène Adolphe
MARC	Victor
VERLEY	André Charles
SANGNIER	Lucien Amand
ROTTEMBOURG	Henry
CHAVETON	Francis
CASANOVA	Bastien
PIPERAUD	Jules Charles
RÉTOUX	Angèle Marceline Louise
MENARD	Georges Julien Félix
LAJOUSE	Marie Pierre Paul Jehan
GIBAULT	Eugène Paul Augustin
GERRIER	Charles Emile
GUILLOT	Eugène Pierre Sylvain
VAN CLEEF	Alfred
MÉHAULT	Jean Adolphe
MAURY	Jean Marin
GOUGENHEIM	André
GRADIS	Jean Gérard
NÉDELEC	René Fernand
LANNIER	Paul Arthur Léon
TRAVERS	René
REVILLON	Pierre Jules Edmond
SOMMIER	Joseph Alexandre Edme
PETIT	Joseph Jean Marie
THIBARON	Hortense Elise Alexandrine
SAUVAIRE DE BARTHÉLEMY	François Pierre
TILLIÉ	René Louis Henri
MAURICE	Emile
MAURIN-DE-BRUS	Albert Robert
MONMARCHÉ	Hubert
MONTOBY	Lucien Nicolas
MÉTRAL	Paul Frédéric Henri
MERCIER	Constant Alexandre
VELTEN	Ernest Albert
DURNERIN	Georges Marie Pierre
BAUCHET	Henri Joseph
BEAUGRAND	Georges Albert
CHÉNIN	Emile François Achille
BOUCHEROT	Paul Marie Joachim
MARX	Pierre Adrien Edmond Gaston
MULOTTE	André Albert
BOUCHER	Henri Adrien
AVIOT	Henri Alexandre
DORDÉ	Paul Alexis
ETTINGHAUSEN	Henri
FERRÉ	Henri Charles
DUVAL	Alfred Pierre
FORGE	Emile Augustin
FERDINAND	Ernest Désiré
DHOMMÉE	Leon Louis Auguste
ULMANN	Henry
THUREAU-DANGIN	Jean Geneviève François
TRIPARD	Jacques Louis Charles
VALLERY-RADOT	Félix Edouard Pierre
TEILHET	Pierre Victor Barthélémy
GUÉRIN	Jean Hector Louis
VAUTIER	Jean Robert
QUINEL	Jean Charles Edmond
VARENNES BISSUEL DE SAINT VICTOR DE	Jacques Louis Jean Benoit
HENTIENS	Dominique Auguste
DAUDY	Jules Victor Joseph
HIRSCH	Edouard Marc Daniel
HENRION	Alfred Jules Maurice
HARET	Maurice Charles
VAN HEEMS	Roger Albert
RIOUX	René Eugène
ROTH	Ernest Jacques Pierre Simon
LEGAVRE	Ferdinand Eugène
LEFÈVRE	Gaston Victor Frédéric
JAYOT	Emile Ernest
JACQUET	Léon Prosper
LEIRIS	Anne Pierre Emile
VIGNEULLE	Aimé Emmanuel
LACAM	Raymond Alfred
KOLB	Charles Marguerit
LABROUSSE	Marie-Louise Anne Giselle
PELLERIN	Paul Georges Alphonse
LEGAY	Auguste Charles
LHESPITAOU	André
LEMERCIER DE MAISONCELLE VERTILLE DE RICHEMONT	Roger Marie Joseph
LEMOINE	Guy Jean Adrien
HETTINGER	Robert Louis
HARISMENDY	Jean Marie Antoine
LARUE	Louis Georges Pierre
LAMBLA	René Julien Xavier
LACHARTRE	Maurice Charles
VIEILLERIBIÈRE	Maurice
VERDEAUX	Félix Annet Honoré
BORDE	Etienne Jean Ambroise
JONES	Léon Armand Henri
VIBERT	Louis Joseph Amédée
VOISIN	Louis Pascal Henri Joseph
GROUILLER	André Gabriel
SCHOLTES	Pierre Léon
THIMBAUT	Charles Jean
PERRET	Lucien Emile François
ROUSSEAU	Henri Auguste
SÉGUIN	Edouard Henri
VACHER	Paul Joseph Eugène
VAN-OUDENHOVE	Gabriel Emile
ROGIER	Constant Charles
TANCHOU	Louis Siméon Constant
LEMAY	André Louis Jules
LEGER	Louis
SAUVE	André Paul Emile
SANCERY	Jean Eugène Louis Marie
SCHWARBERG	Henri Eugène
MEILHAN	Alfred Charles
LEBRETON	Jules Michel François
LEBEL	Jules Narcisse
STRAUSS	Jean Charles Moïse
SAUVÊTRE	Eugène Martial
SAPIN	Léon Ferdinand
TABOUIS	Maurice Marie Edmond
NEUVILLE	Henri Emmanuel
VILLETTE	Charles Emmanuel
SOREL	Auguste Louis Emile
PICARD	Georges Ernest
VECHOT	Lucien Hippolyte
ROUART	Henri Louis
ROLAND GOSSELIN	François Paul
SCHLESSER	Pierre Louis
CRÉNESSE	Pierre
LEMARIE	Maud Etiennette Sarah
CONTAMIN	Louis Marie Albert
CONTE-ROY DE PUYFONTAINE	Maxime Alfred Jean Marie Antoine
COPPER-ROYER	Jean Albert
CUAZ	Gaston Eugène
BLUM	Eugène René Robert Léon
BLANCHE	Jean Paul Gabriel
BLARD	Désiré Joseph
BLONDIN	Maurice Léon
BASCHET	Pierre Maurice
PAPILLON	Paul
PARAGON	Lucien Marcel
PARQUEZ	François Joseph Jacques
CROZET	Jean Marie André
LAFORÊT	Aimé Ulysse Paul
CARDOU	Pierre Jules
CARBUCCIA DE	Horace Georges Antoine Vincent Henri Marie
CHARON	Jacques Sylvain Edouard
CHARDON	Jules Louis
BAPST	Jean Marie Edmond
ARBEY	René Pierre Marcel
BERLIOZ	Jacques Paul Antoine
BERGER	Georges
DEVRAIGNE	Louis Jules
FOSSE	Emile Paul Lucien
GALVAING	Louis Jules
GRAVELOTTE	Eugène Henri
PILLET	Marcel Emile Paul
PIERROT	Jules Louis
PHILIS	Antoine
ALGRAIN	Christian Jean Louis
ALAUX	Louis Pierre Marcel
FAVIER	Louis Alexandre
GATINE	Lucien Jacques Marie
BRAEUNIG	Charles Emile Edouard
ROUGE	Emile Ulysse Raoul
GRAET DE	Fernand Alexandre Georges
HENNERICK	Jacques Louis Gabriel
BOURGUIGNON	Georges Joseph
BOUSSICUT	Guy Edme
BOUCHON	Georges Augustin Joseph Maurice
BOUTHORS	Jules Maurice
BOUDAUD	Raoul Jean Louis
BOUVET	André Daniel Ferdinand Gaston
PETTEX MUFFAT	Emile Jean
VIGIER	Eugène Jean
GAY-LANCERMIN	Henri Raoul
VOGELSPERGER	Auguste
BREIDSPRECHER	Georges Simon Albert
HUGUENIN	Ernest Emile
DUVAL	Alexandre Henri
BOISBOURDIN	Lucien
BOISSON	Jean Charles Narcisse
SIMONET	Louis
NICOLLE	Georges Félicien Léon
MAGNE	Auguste
DEHÉRAIN	Pierre Théogène Henri
DEPIERRE	Maurice Félix Rodolphe
HERBIN	Henri Lucien
GAILLOT	Gabriel Maurice Joseph
DEFERT	Louis Augustin Edouard
MALANÇON	Henri Léonce
LAURIOT	Emile Pierre André
WORMS	Henri Jean Jacques
RUFFIER DES AIMES	André Roger
LAUGIER VILLARS DE	Jean Camille Marie Etienne
BLOCH	Raymond Jacques Alfred
BLOCKHUYSEN	Charles Jean Baptiste
BLAMPIED	André Joseph Emile
BLANCHET	Henri Gabriel Marie Joseph
CAVALIER	Frédéric Paul
CLAUDE	Georges Marie Auguste
BALL	Albert William Benjamin
MORIN	Jean Baptiste Marie
HUILLARD	Lucien Léon Maurice
HARET	Henri Edmond Marie
BLIN	Marcel Alexandre
BLIND	Louis Ernest
BLETRY	Paul Eugène
PARVILLÉ	Isidore Victor Edmond
PALIS	Victor Léon
ZARZECKI	Stéphan Eugène Thadée Joseph
ROCHER	Paul Auguste
JAGEOT	Henri
IZARD	Gabriel
ISSALY	Lucien Henri
PORCHÉ	Maurice Auguste Marie
PANNIER	Georges Frédéric Henri
SCHIEL	Henri François Clément
DORBEC	François
DEGOUET	Roger Louis Stanislas Hippolyte
COTTIN	Ferdinand Charles
DECROIX	Roland Elie Pierre Guillin
DÉCUREY	Jean Emile
PATTE	Georges Alexandre
DELATTRE	Jules
WEIL	Maurice
DEPEYRE	Georges Emile
DEMOUGEOT	André Jean
DANDELOT	Georges Edouard
DELEUZE	Edmond Fabrice Pierre
DELLEA	François Marie Georges
DESPEYROUX	Georges Jean Eugène
DESCHAMPS	Honoré Alphonse
POUZOLS	Louis
PONS	Pierre Jean
POINAS	Jules
RICHET	Jean Baptiste
ROBELOT	Georges
RAUILHAC	Raymond Pierre
RODOREL DE SEILHAC DE	Henri Louis Marie Victor
LABBÉ	Auguste François
KOHN-ABREST	Emile Jacques
PIERMÉ	Georges Emile Alfred
SALVANÉ	Léon Jean
SERPH-DUMAGNOU	Joseph André
VERDIER	Jules Albert Joseph
FLEURANT	Alfred Auguste
GUIGUES DE MORETON	Clémentine Félicité Ghislaine Marie
RODHAIN	Auguste Louis
POURRAT	Gaston Emile
REDON	Jules Georges
DAGUERRE	Hector Louis
RAQUIN	Robert Elie Henri
RAULET	André Guillaume Louis
RICHE	Jacques Marie Henry Alfred
RIDEAU	André
RIDET	Jacques Marie Armand
RIOM	Guillaume Jules Fernand
ROBINOT	Marcel Auguste Amand
RUFIN	Antoine Clair
RUMEAU	Armand Jean Albert Emile
ROTHSCHILD DE	Henri James Nathaniel Charles
KELLER	Paul Gustave
MANDEVILLE	Jean Baptiste
LECONTE	François Henri
JANVIER	Georges Louis Ernest
JACQUET	Louis Adrien
HUBECOURT	Pierre André Alexandre
LEBOCEY	Jules
JONNIAUX	Fernand Théodore
LAFLESSELLE	Elie Lucien
ROUGIER	Denis Félix Maurice
PUTHOMME	Emile
TROLE	Emile François
ROGUES	Pierre Maurice
